TIMESTAMP_MS,X_GYRO_LOW,X_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,X_DELTANG_LOW,X_DELTANG_OUT
61,-546654,-9,310667,4,-274,-1
140,-165264,-3,-304162,-5,-94,-1
205,-102614,-2,1229756,18,-115,-1
277,-811971,-13,445921,6,-462,-1
337,-549148,-9,346056,5,-220,-1
408,-870175,-14,1384094,21,-421,-1
477,-743271,-12,24679,0,-386,-1
543,-503606,-8,334376,5,-287,-1
557,-303624,-5,-143307,-3,-154,-1
616,-480782,-8,1498209,22,-311,-1
677,-283801,-5,-24758,-1,-143,-1
753,-367156,-6,383424,5,-116,-1
815,-885737,-14,1031191,15,-523,-1
878,-356946,-6,-11616,-1,-278,-1
940,-803671,-13,1101582,16,-495,-1
1003,-1005530,-16,447856,6,-594,-1
1066,-145410,-3,614475,9,-83,-1
1128,-762213,-12,670278,10,-416,-1
1190,-750596,-12,-50148,-1,-333,-1
1251,-427509,-7,1378088,21,-281,-1
1315,-561332,-9,-29087,-1,-338,-1
1377,-371869,-6,788627,12,-231,-1
1440,-616116,-10,647723,9,-314,-1
1502,-98559,-2,152462,2,-187,-1
1563,-221652,-4,972845,14,-127,-1
1627,-688711,-11,-211837,-4,-336,-1
1689,-627126,-10,1585289,24,-320,-1
1752,-697114,-11,349862,5,-248,-1
1814,-171763,-3,580978,8,-135,-1
1876,-488929,-8,1100925,16,-333,-1
1937,-152441,-3,-89626,-2,-162,-1
1999,-685456,-11,1024083,15,-334,-1
2061,-296451,-5,178694,2,-244,-1
2122,-545787,-9,1211355,18,-330,-1
2185,-149877,-3,480170,7,-104,-1
2247,-356887,-6,49685,0,-297,-1
2309,-622894,-10,1187513,18,-392,-1
2372,-556805,-9,-100284,-2,-299,-1
2436,-484437,-8,1015212,15,-257,-1
2498,-350311,-6,351976,5,-236,-1
2562,-611753,-10,329718,5,-310,-1
2623,-693240,-11,886890,13,-432,-1
2687,-423286,-7,-186055,-3,-261,-1
2748,-614662,-10,1131631,17,-369,-1
